timestamp,attempt_number,username,password,status,latency_ms,notes
2025-12-14T17:22:56.533801,1,user01,kc7v,fail,13.66,
2025-12-14T17:22:56.537968,2,user01,9f37x,fail,4.17,
2025-12-14T17:22:56.543475,3,user01,9wpw,fail,5.51,
2025-12-14T17:22:56.555666,4,user01,e70li,fail,9.19,captcha_bypass;
2025-12-14T17:22:56.560729,5,user01,3059so,rate_limited,4.0,
2025-12-14T17:22:56.564184,6,user01,pnjd6z,rate_limited,3.46,
2025-12-14T17:22:56.570211,7,user01,bn8l2c,rate_limited,6.03,
2025-12-14T17:22:56.574721,8,user01,h2iaj,rate_limited,4.51,
2025-12-14T17:22:56.578728,9,user01,2ege2,rate_limited,4.01,
2025-12-14T17:22:56.583737,10,user01,jltudv,rate_limited,5.01,
2025-12-14T17:22:56.593787,11,user01,nsorpj,rate_limited,9.54,
2025-12-14T17:22:56.600816,12,user01,umwr,rate_limited,7.03,
2025-12-14T17:22:56.607343,13,user01,cgvy,rate_limited,6.53,
2025-12-14T17:22:56.612330,14,user01,8y62,rate_limited,4.99,
2025-12-14T17:22:56.616854,15,user01,duy7,rate_limited,4.52,
2025-12-14T17:22:56.621851,16,user01,ygeysm,rate_limited,5.0,
2025-12-14T17:22:56.626909,17,user01,sj67l,rate_limited,4.06,
2025-12-14T17:22:56.629911,18,user01,9zd7i,rate_limited,3.0,
2025-12-14T17:22:56.636045,19,user01,0ufcb,rate_limited,5.12,
2025-12-14T17:22:56.649355,20,user01,7wna2k,rate_limited,13.31,
2025-12-14T17:22:56.656879,21,user01,o57d,rate_limited,7.52,
2025-12-14T17:22:56.661880,22,user01,gic4,rate_limited,4.0,
2025-12-14T17:22:56.671961,23,user01,aqqy4d,rate_limited,10.08,
2025-12-14T17:22:56.679031,24,user01,yxp0q,rate_limited,7.07,
2025-12-14T17:22:56.683541,25,user01,u84r,rate_limited,4.51,
2025-12-14T17:22:56.696314,26,user01,gwl3,rate_limited,12.77,
2025-12-14T17:22:56.706840,27,user01,7b7e3j,rate_limited,10.53,
2025-12-14T17:22:56.711839,28,user01,rla45,rate_limited,5.0,
2025-12-14T17:22:56.719345,29,user01,t2yur,rate_limited,7.51,
2025-12-14T17:22:56.723849,30,user01,xlm03e,rate_limited,4.5,
2025-12-14T17:22:56.727866,31,user01,5ig9,rate_limited,4.02,
2025-12-14T17:22:56.730867,32,user01,k3cl,rate_limited,3.0,
2025-12-14T17:22:56.733863,33,user01,0801u7,rate_limited,3.0,
2025-12-14T17:22:56.739359,34,user01,ea0o,rate_limited,4.0,
2025-12-14T17:22:56.742355,35,user01,63zzin,rate_limited,3.0,
2025-12-14T17:22:56.747878,36,user01,ghit,rate_limited,4.01,
2025-12-14T17:22:56.753387,37,user01,l9a6,rate_limited,4.5,
2025-12-14T17:22:56.757932,38,user01,gkkd,rate_limited,4.54,
2025-12-14T17:22:56.761935,39,user01,l08mun,rate_limited,4.0,
2025-12-14T17:22:56.766056,40,user01,5mb9,rate_limited,4.12,
2025-12-14T17:22:56.769055,41,user01,s0iibl,rate_limited,3.0,
2025-12-14T17:22:56.773558,42,user01,eij8,rate_limited,3.5,
2025-12-14T17:22:56.776564,43,user01,pfgkri,rate_limited,3.01,
2025-12-14T17:22:56.781564,44,user01,e5hh6h,rate_limited,5.0,
2025-12-14T17:22:56.788599,45,user01,vn2w,rate_limited,7.04,
2025-12-14T17:22:56.791602,46,user01,wtdb8,rate_limited,3.0,
2025-12-14T17:22:56.795804,47,user01,2or87,rate_limited,3.2,
2025-12-14T17:22:56.799804,48,user01,8lsbs,rate_limited,4.0,
2025-12-14T17:22:56.805853,49,user01,5t6a,rate_limited,5.03,
2025-12-14T17:22:56.811843,50,user01,seaif,rate_limited,5.99,
2025-12-14T17:22:56.816356,51,user01,th2cnx,rate_limited,4.51,
2025-12-14T17:22:56.821356,52,user01,4f3vm,rate_limited,5.0,
2025-12-14T17:22:56.826894,53,user01,7sygrp,rate_limited,5.54,
